ID,ULTIMO_INGRESO,ID_FAB,DETALLE,CANTIDAD,COSTO_U,COSTO_TOTAL,VENTA_TOTAL,GANANCIA,BENF_COST_%,BENF_VENT_%,COTIZACION,PROVEEDOR
122378,13/04/2026,E600-WGNN-S01,GABINETE COOLER MASTER 600 ELITE WHITE ARGB x 4 COOLERS,11.000,59.40000,653.40000000,735.26,81.86,12.53,11.13,,LASET S.A.
101396,19/02/2026,BATERIA 12V 8AH,HUNNOX BATERIA UPS 12V 8AH,2.000,9.73000,19.46000000,29.35,9.89,50.81,33.69,,LASET S.A.
118450,22/05/2026,RZ01-04650100-R3M1,MOUSE GAMER RAZER COBRA,15.000,25.92000,388.80000000,501.89,113.09,29.09,22.53,,LASET S.A.
120415,19/05/2026,PA278QV-J,MONITOR 27 ASUS PA278QV WQHD 75HZ IPS ERGO,4.000,186.21000,744.84000000,1027.71,282.87,37.98,27.52,,LASET S.A.
121367,24/06/2026,25133,MOUSE TRUST VERTO ERGO VERTICAL WHITE,1.000,9.90000,9.90000000,12.77,2.87,28.99,22.47,,LASET S.A.
121438,22/06/2026,ZT-B50500H-10M,PLACA DE VIDEO ZOTAC RTX 5050 8GB TWIN EDGE,1.000,291.98000,291.98000000,338.56,46.58,15.95,13.76,,LASET S.A.
121712,18/05/2026,SX19F6,MONITOR SOLARMAX 19.3 VGA/HD+ SLIM NEGRO,11.000,20.35000,223.85000000,448.07,224.22,100.17,50.04,,LASET S.A.
122782,19/05/2026,ROG-STRIX-1200P-GAMING,FUENTE ASUS ROG STRIX 1200W Platinum,1.000,190.25000,190.25000000,218.7,28.45,14.95,13.01,,LASET S.A.
115289,09/03/2026,23532,AURICULAR GAMER TRUST FORZE PS4 GXT488 BLUE,1.000,26.28000,26.28000000,35.41,9.13,34.74,25.78,,LASET S.A.
118911,03/09/2024,25087,AURICULAR TRUST AYDA PC,1.000,14.04000,14.04000000,17.4,3.36,23.94,19.31,,LASET S.A.
104979,25/06/2021,9H.N2EBB.A2E,MOUSE GAMER ZOWIE FK1+-B BLACK,1.000,65.31960,65.31960000,33.96,-31.36,-48.02,-92.37,,New Bytes INC
122629,20/05/2026,31300021401,TECLADO GENIUS KB-123 BLACK,3.000,4.85000,14.55000000,17.01,2.46,16.92,14.47,,LASET S.A.
117369,03/06/2024,31030009406,MOUSE MINI WIRELESS GENIUS NX-9000BT IRON-GRAY RECARGABLE,1.000,12.90000,12.90000000,9.92,-2.98,-23.07,-29.98,,LASET S.A.
121267,12/03/2026,MILAN-2CN-B,"TECLA MILAN BLANCO MACROLED, 2 CANAL, 2 VIAS, AC 250V, 10A MAX. BASTIDOR METALICO",15.000,1.72000,25.80000000,30.9,5.1,19.78,16.51,,CORESA GROUP SRL
119726,05/05/2026,GP-P550SS,FUENTE GAMER GIGABYTE 550W 80 PLUS SILVER ATX 3.0,4.000,31.75000,127.00000000,152.35,25.35,19.96,16.64,,LASET S.A.
122627,20/05/2026,31030052400,MOUSE WIRELESS GENIUS NX-8280S BT+2.4 GHz RECARGABLE BLACK,1.000,10.03000,10.03000000,11.53,1.5,14.91,12.97,,LASET S.A.
121291,12/03/2026,MILAN-2TC-G,"TOMACORRIENTE DOBLE MILAN GRIS MACROLED, AC 250V, 10A MAX. BASTIDOR METALICO",14.000,1.68000,23.52000000,29.41,5.89,25.05,20.03,,CORESA GROUP SRL
115743,13/05/2026,NT01N535N-001T-N8X,DISCO SSD NETAC N535N M.2 2280 SATAIII 3D NAND SSD 1TB,2.000,137.41000,274.82000000,324.15,49.33,17.95,15.22,,LASET S.A.
119218,04/12/2025,25144,MOUSE GAMER TRUST BAYO II ERGO WIRED BLACK,1.000,11.37000,11.37000000,15.45,4.08,35.91,26.42,,LASET S.A.
120532,17/06/2025,CA-1Y8-00S1WN-02,GABINETE GAMER THERMALTAKE VERSA H16 TG ARGB BLACK TEMP GLASS,2.000,34.55000,69.10000000,77.36,8.26,11.95,10.67,,LASET S.A.
121449,13/04/2026,MPE-6502-ACAAG,FUENTE COOLER MASTER MWE GOLD 650W V3 NM FR (No Modular),11.000,44.06000,484.66000000,557.18,72.52,14.96,13.02,,LASET S.A.
111605,07/10/2021,GC1000,TECLADO y MOUSE + PAD AUREOX LIFELIGHT GAMING GC1000,1.000,17.17960,17.17960000,21.12,3.94,22.96,18.67,,LASET S.A.
121439,13/04/2026,RR-S4NA-17PA-R1,COOLER CPU COOLER MASTER HYPER 212 SPECTRUM V3 RGB,28.000,11.65000,326.20000000,466.38,140.18,42.97,30.06,,LASET S.A.
108561,23/08/2022,31731062101,PARLANTE PORTATIL BLUETOOTH GENIUS SP-925BT WHITE,2.000,27.89640,55.79280000,19.52,-36.27,-65.01,-185.8,,LASET S.A.
111600,07/10/2021,MOU ARXP-GM600,MOUSE AUREOX AIMASTER GAMING GM600,1.000,11.69280,11.69280000,14.73,3.04,25.96,20.61,,LASET S.A.
