ID,Ultimo_Ingreso,ID_Fab,Detalle,Cantidad,Costo_U,Costo,Venta,Renta,Benf_Cost,Benf_Vent,Cotizacion,Proveedor
119902,25/09/2025,TUF GAMING B850M-PLUS WIFI,MOTHER ASUS (AM5) TUF GAMING B850M-PLUS WIFI,9.000,187.55000,1687.95000000,1991.78,303.83,18,15.25,,LASET S.A.
120093,17/02/2025,31340015401,TECLADO + MOUSE WIRELESS GENIUS SLIMSTAR 8230 WHITE DUAL BT/2.4Ghz,1.000,15.07000,15.07000000,18.06,2.99,19.86,16.57,,LASET S.A.
117807,21/05/2026,WDS100T2XHE,DISCO SSD M.2 1TB WD BLACK SN850X NVME HEATSINK,8.000,170.53000,1364.24000000,883.38,-480.86,-35.25,-54.43,,LASET S.A.
118088,11/12/2025,RZ05-04280100-R3U1,SOUNDBAR RAZER LEVIATHAN V2 X CHROMA BT,1.000,82.87000,82.87000000,102.3,19.43,23.44,18.99,,LASET S.A.
120283,20/02/2026,GV-N507TAERO OC-16GD,PLACA DE VIDEO GIGABYTE RTX 5070TI  AERO OC 16GB,2.000,985.01000,1970.02000000,2200.94,230.92,11.72,10.49,,LASET S.A.
118840,05/08/2025,100-100001236BOX,PROCESADOR AMD (AM5) RYZEN 7 8700G,8.000,231.91000,1855.28000000,2044.03,188.75,10.17,9.23,,LASET S.A.
118980,05/08/2025,100-100000931BOX,PROCESADOR AMD (AM5) RYZEN 5 8500G,12.000,119.88000,1438.56000000,1598.25,159.69,11.1,9.99,,LASET S.A.
119027,29/07/2025,B650M H,MOTHER GIGABYTE (AM5) B650M H,6.000,73.98000,443.88000000,494.71,50.83,11.45,10.28,,LASET S.A.
119969,09/03/2026,25372,MICROFONO TRUST YUNIX USB BLACK GXT234,1.000,21.50000,21.50000000,23.94,2.44,11.34,10.19,,LASET S.A.
120001,15/09/2025,CA-1Z2-00M1WN-00,GABINETE THERMALTAKE VIEW 380 TG ARGB BLACK TEMPERED GLASS,2.000,71.83000,143.66000000,170.95,27.29,19,15.97,,LASET S.A.
121092,30/07/2025,AN3U,D-LINK USB WIFI N300 WI-FI 4 ADAPTER,2.000,5.86000,11.72000000,14.23,2.51,21.4,17.63,,LASET S.A.
121101,30/07/2025,R04,D-LINK ROUTER R04 N300 SMART 3 ANTENAS,10.000,10.78000,107.80000000,151.98,44.18,40.98,29.07,,LASET S.A.
120537,15/09/2025,CL-P121-CA12SW-A,CPU COOLER THERMALTAKE ASTRIA 600 AIR 6 PIPE SYNC,3.000,53.88000,161.64000000,201.26,39.62,24.51,19.68,,LASET S.A.
121137,21/05/2026,100-100001504WOF,PROCESADOR AMD (AM4) RYZEN 5 5500X3D,16.000,153.54000,2456.64000000,2669.84,213.2,8.68,7.99,,LASET S.A.
104321,20/10/2025,RZ02-03330400-R3U1,MOUSEPAD RAZER GIGANTUS V2 XXL,2.000,25.02000,50.04000000,60.16,10.12,20.23,16.83,,LASET S.A.
118963,26/12/2025,BX8071514400,PROCESADOR INTEL (LGA1700) CORE I5 14400,3.000,165.32000,495.96000000,492.59,-3.37,-0.68,-0.68,,LASET S.A.
119161,01/08/2025,NV-X120FWP,COOLER FAN 120mm ARGB PMW RAIDMAX X-AIR WHITE,1.000,3.83000,3.83000000,7.33,3.5,91.3,47.73,,LASET S.A.
121088,15/09/2025,CL-W459-PL12SW-A,WATER COOLER THERMALTAKE LA360 ARGB SYNC ALL IN ONE BLACK,4.000,68.43000,273.72000000,335.44,61.72,22.55,18.4,,LASET S.A.
121108,09/03/2026,25682,TECLADO TRUST ZORA MECHANICAL ES GXT871,1.000,27.38000,27.38000000,33.08,5.7,20.81,17.23,,LASET S.A.
117543,13/05/2026,NT01SA500-240-S3X,DISCO SSD NETAC SA500 2.5 SATA3 240 GB,80.000,39.66000,3172.80000000,1191.63,-1981.17,-62.44,-166.26,,LASET S.A.
118811,11/12/2025,RZ03-04471100-R311,TECLADO GAMER RAZER ORNATA V3 X SILENT ESPAÑOL,5.000,24.01000,120.05000000,148.32,28.27,23.55,19.06,,LASET S.A.
111680,20/12/2021,17003,WEBCAM TRUST EXIS BLACK,1.000,12.49920,12.49920000,12.36,-0.14,-1.1,-1.11,,New Bytes INC
116376,28/04/2025,NTSDD4P32SP-08Y,MEMORIA NETAC SHADOW DDR4 3200 8GB C16 GOLD YELLOW,2.000,11.25000,22.50000000,48.98,26.48,117.69,54.06,,LASET S.A.
118757,29/07/2025,ALEG-710-512GCS,DISCO SSD ADATA LEGEND 710 512GB M2 Gen3 x4 2.400/1.800MB/s,10.000,27.36000,273.60000000,310.85,37.25,13.62,11.98,,ADATA TECHNOLOGY
120766,16/10/2025,B850M PRO-A WIFI,MOTHER ASROCK (AM5) B850M PRO-A WIFI,6.000,131.00000,786.00000000,909.49,123.49,15.71,13.58,,LASET S.A.
118406,28/07/2025,CA-1S4-00S6WN-00,GABINETE GAMER THERMALTAKE DIVIDER 170 TG ARGB SNOW WHITE TEMP GLASS,2.000,51.00000,102.00000000,127.13,25.13,24.64,19.77,,LASET S.A.
120127,07/03/2025,B850M-X,MOTHER ASROCK (AM5) B850M-X,1.000,109.66000,109.66000000,122.6,12.94,11.8,10.56,,LASET S.A.
120225,25/04/2025,NXSM2500,MONITOR NOBLEX 25 FHD IPS ADAPTIVE SYNC NXSM2500,1.000,91.48688,91.48688000,98.25,6.76,7.39,6.88,,PILISAR S.A.
116229,17/04/2023,24203,TECLADO TRUST MAZZ MECHANICAL GXT863,1.000,29.45000,29.45000000,34.73,5.28,17.93,15.2,,New Bytes INC
117728,20/02/2026,100-100000589WOF,PROCESADOR AMD (AM5) RYZEN 9 7900X,3.000,356.61000,1069.83000000,1069.35,-0.48,-0.05,-0.05,,LASET S.A.
119143,14/04/2026,100-100001405WOF,PROCESADOR AMD (AM5) RYZEN 5 9600X (S/COOLER),28.000,216.35000,6057.80000000,6254.31,196.51,3.24,3.14,,LASET S.A.
119257,20/04/2025,H610M K V2,MOTHER GIGABYTE (LGA1700) H610M K V2,1.000,62.34000,62.34000000,65.75,3.41,5.47,5.18,,LASET S.A.
119941,09/03/2026,24732,WEBCAM TRUST TAXON QHD ECO,2.000,35.05000,70.10000000,90.56,20.46,29.18,22.59,,LASET S.A.
120204,26/03/2025,M602 FALCHION ACE/NXRD/WHT/CA/PBT,TECLADO ASUS M602 FALCHION NX MECHANICAL WHITE,2.000,104.03000,208.06000000,215.95,7.89,3.79,3.66,,LASET S.A.
120717,09/06/2025,ZT-B50710J-10P,PLACA DE VIDEO ZOTAC RTX 5070TI 16GB SOLID OC GDDR7,2.000,857.81000,1715.62000000,1832.52,116.9,6.81,6.38,,LASET S.A.
120822,15/07/2025,GV-N5090WF3OC-32GD,PLACA DE VIDEO GIGABYTE RTX 5090 WF3 OC 32GB,1.000,2220.78000,2220.78000000,2491.26,270.48,12.18,10.86,,LASET S.A.
111594,07/10/2021,ARXP-GH600,AURICULAR AUREOX TREMOR GAMING GH600,1.000,19.27800,19.27800000,22.79,3.51,18.2,15.4,,LASET S.A.
119238,03/09/2025,B650 A ELITE AX ICE,MOTHER GIGABYTE (AM5) B650 AORUS ELITE AX ICE,4.000,170.90000,683.60000000,780.36,96.76,14.15,12.4,,LASET S.A.
109403,20/08/2025,B550 AORUS ELITE AX V2,MOTHER GIGABYTE (AM4) B550 AORUS ELITE AX V2,1.000,132.72000,132.72000000,148.89,16.17,12.18,10.86,,LASET S.A.
120249,10/11/2025,DM-TL2WF-BLA,TECLA HUNNOX SMART TACTIL 2 CANALES BLANCO,1.000,5.89000,5.89000000,12.11,6.22,105.55,51.35,,LASET S.A.
120470,07/07/2025,31710151104,AURICULAR GENIUS HS-200C+SINGLE JACK CABLE,10.000,3.32000,33.20000000,38.86,5.66,17.04,14.56,,LASET S.A.
120818,03/09/2025,B650 A ELITE AX V2,MOTHER GIGABYTE (AM5) B650 AORUS ELITE AX V2,2.000,171.96000,343.92000000,404.53,60.61,17.62,14.98,,LASET S.A.
120870,03/07/2025,INVADERXBTFMT-BKCWW,GABINETE ADATA XPG INVADER X BTF BLACK,3.000,71.54000,214.62000000,273.69,59.07,27.52,21.58,,LASET S.A.
